timestamp,x_value,y_value,z_value,heart_rate,temperature_c,action,prediction
2026-01-01 01:03:30,0.814,1.275,1.309,82,38.51,Moderate Movement,Healthy Activity
2026-01-01 01:04:00,0.644,0.745,0.619,65,38.53,Head Movement,Feeding Detected
2026-01-01 01:04:30,0.11,0.036,0.076,57,38.27,Low Movement,Healthy Sleep
2026-01-01 01:05:00,0.35,1.258,0.916,64,38.98,Moderate Movement,Healthy Activity
2026-01-01 01:05:30,1.045,0.973,0.96,69,38.56,Moderate Movement,Healthy Activity
2026-01-01 01:06:00,0.81,1.249,0.815,64,38.23,Moderate Movement,Healthy Activity
2026-01-01 01:06:30,0.067,0.113,0.063,56,37.86,Low Movement,Healthy Sleep
2026-01-01 01:07:00,1.266,1.653,0.993,72,38.33,Moderate Movement,Healthy Activity
2026-01-01 01:07:30,3.244,3.424,2.468,114,38.6,High Movement,Active State
2026-01-01 01:08:00,0.228,0.236,0.27,57,38.2,Minimal Movement,Normal Rest
2026-01-01 01:08:30,0.827,0.876,1.586,72,38.62,Moderate Movement,Healthy Activity
2026-01-01 01:09:00,0.006,0.062,0.034,49,38.04,Low Movement,Healthy Sleep
2026-01-01 01:09:30,1.71,1.061,1.533,68,38.22,Moderate Movement,Healthy Activity
2026-01-01 01:10:00,0.654,0.271,0.78,63,38.24,Head Movement,Feeding Detected
2026-01-01 01:10:30,1.02,0.85,1.538,66,38.43,Moderate Movement,Healthy Activity
2026-01-01 01:11:00,0.611,0.884,0.42,71,38.47,Head Movement,Feeding Detected
2026-01-01 01:11:30,0.322,0.267,0.394,62,38.16,Minimal Movement,Normal Rest
2026-01-01 01:12:00,1.022,1.749,0.994,78,38.63,Moderate Movement,Healthy Activity
2026-01-01 01:12:30,0.028,0.153,0.106,53,38.2,Low Movement,Healthy Sleep
2026-01-01 01:13:00,0.078,0.131,0.056,52,38.24,Low Movement,Healthy Sleep
2026-01-01 01:13:30,0.659,0.894,0.421,67,38.16,Head Movement,Feeding Detected
2026-01-01 01:14:00,0.262,0.221,0.386,54,38.35,Minimal Movement,Normal Rest
2026-01-01 01:14:30,1.359,1.595,1.333,82,38.35,Moderate Movement,Healthy Activity
2026-01-01 01:15:00,1.018,1.357,1.212,84,38.7,Moderate Movement,Healthy Activity
2026-01-01 01:15:30,0.098,0.063,0.06,57,38.09,Low Movement,Healthy Sleep
2026-01-01 01:16:00,1.133,1.175,1.713,80,38.87,Moderate Movement,Healthy Activity
2026-01-01 01:16:30,0.265,0.694,0.27,58,38.58,Head Movement,Feeding Detected
2026-01-01 01:17:00,0.629,0.581,0.217,74,38.35,Head Movement,Feeding Detected
2026-01-01 01:17:30,1.371,0.553,1.926,84,38.46,Moderate Movement,Healthy Activity
2026-01-01 01:18:00,2.526,2.562,3.399,115,39.0,High Movement,Active State
2026-01-01 01:18:30,0.945,1.237,1.219,67,38.46,Moderate Movement,Healthy Activity
2026-01-01 01:19:00,0.268,0.216,0.323,58,38.11,Minimal Movement,Normal Rest
2026-01-01 01:19:30,-0.005,0.082,0.136,57,38.23,Low Movement,Healthy Sleep
2026-01-01 01:20:00,1.449,1.169,1.084,79,38.21,Moderate Movement,Healthy Activity
2026-01-01 01:20:30,0.215,0.669,0.563,63,38.57,Head Movement,Feeding Detected
2026-01-01 01:21:00,1.578,1.356,0.822,62,38.54,Moderate Movement,Healthy Activity
2026-01-01 01:21:30,1.223,1.427,1.24,64,38.49,Moderate Movement,Healthy Activity
2026-01-01 01:22:00,1.137,1.182,1.415,67,38.2,Moderate Movement,Healthy Activity
2026-01-01 01:22:30,0.052,0.07,0.065,55,38.31,Low Movement,Healthy Sleep
2026-01-01 01:23:00,2.391,3.639,3.117,111,39.09,High Movement,Active State
2026-01-01 01:23:30,1.948,2.278,1.582,122,39.15,High Movement,Active State
2026-01-01 01:24:00,0.063,0.066,0.071,48,38.21,Low Movement,Healthy Sleep
2026-01-01 01:24:30,1.773,1.086,0.954,84,38.65,Moderate Movement,Healthy Activity
2026-01-01 01:25:00,0.189,0.329,0.259,54,38.31,Minimal Movement,Normal Rest
2026-01-01 01:25:30,1.331,1.244,1.386,77,38.47,Moderate Movement,Healthy Activity
2026-01-01 01:26:00,0.084,0.075,0.103,48,38.38,Low Movement,Healthy Sleep
2026-01-01 01:26:30,0.192,0.198,0.172,55,38.2,Minimal Movement,Normal Rest
2026-01-01 01:27:00,0.082,0.081,0.106,49,38.3,Low Movement,Healthy Sleep
2026-01-01 01:27:30,1.126,1.16,1.099,64,38.61,Moderate Movement,Healthy Activity
2026-01-01 01:28:00,0.084,0.123,0.083,55,38.05,Low Movement,Healthy Sleep
2026-01-01 01:28:30,0.336,0.344,0.202,62,38.36,Minimal Movement,Normal Rest
2026-01-01 01:29:00,0.846,0.996,0.815,67,38.43,Moderate Movement,Healthy Activity
2026-01-01 01:29:30,0.366,1.101,1.275,64,38.32,Moderate Movement,Healthy Activity
2026-01-01 01:30:00,0.29,0.28,0.312,67,38.34,Minimal Movement,Normal Rest
2026-01-01 01:30:30,1.478,1.134,1.683,82,38.63,Moderate Movement,Healthy Activity
2026-01-01 01:31:00,0.121,0.078,0.082,52,38.27,Low Movement,Healthy Sleep
2026-01-01 01:31:30,1.261,1.15,0.767,71,38.23,Moderate Movement,Healthy Activity
2026-01-01 01:32:00,1.357,0.769,0.832,75,38.52,Moderate Movement,Healthy Activity
2026-01-01 01:32:30,1.682,3.751,2.32,113,39.05,High Movement,Active State
2026-01-01 01:33:00,0.055,0.111,0.1,59,37.82,Low Movement,Healthy Sleep
2026-01-01 01:33:30,0.711,0.502,0.474,71,38.28,Head Movement,Feeding Detected
2026-01-01 01:34:00,0.107,0.069,0.089,56,38.24,Low Movement,Healthy Sleep
2026-01-01 01:34:30,0.276,0.203,0.146,61,38.26,Minimal Movement,Normal Rest
2026-01-01 01:35:00,0.123,0.076,0.139,49,38.16,Low Movement,Healthy Sleep
2026-01-01 01:35:30,0.454,0.577,0.631,72,38.18,Head Movement,Feeding Detected
2026-01-01 01:36:00,1.869,1.506,0.875,80,38.74,Moderate Movement,Healthy Activity
2026-01-01 01:36:30,0.565,0.77,0.96,74,38.51,Head Movement,Feeding Detected
2026-01-01 01:37:00,1.072,1.221,1.274,82,38.4,Moderate Movement,Healthy Activity
2026-01-01 01:37:30,0.439,0.301,0.284,66,38.07,Minimal Movement,Normal Rest
2026-01-01 01:38:00,0.337,0.221,0.234,58,38.22,Minimal Movement,Normal Rest
2026-01-01 01:38:30,0.604,0.566,0.579,63,38.33,Head Movement,Feeding Detected
2026-01-01 01:39:00,0.671,0.511,0.487,69,38.29,Head Movement,Feeding Detected
2026-01-01 01:39:30,0.854,1.468,1.522,79,38.26,Moderate Movement,Healthy Activity
2026-01-01 01:40:00,2.988,3.179,2.998,114,38.79,High Movement,Active State
2026-01-01 01:40:30,0.218,0.292,0.344,58,37.91,Minimal Movement,Normal Rest
2026-01-01 01:41:00,1.574,1.511,1.172,77,38.33,Moderate Movement,Healthy Activity
2026-01-01 01:41:30,0.306,0.227,0.234,67,38.13,Minimal Movement,Normal Rest
2026-01-01 01:42:00,1.079,0.563,1.545,83,38.47,Moderate Movement,Healthy Activity
2026-01-01 01:42:30,0.542,0.405,0.195,63,38.18,Head Movement,Feeding Detected
2026-01-01 01:43:00,0.376,0.361,0.233,61,38.16,Minimal Movement,Normal Rest
2026-01-01 01:43:30,3.878,1.16,2.646,100,38.02,High Movement,Active State
2026-01-01 01:44:00,0.104,0.132,0.083,55,38.22,Low Movement,Healthy Sleep
2026-01-01 01:44:30,0.259,0.163,0.307,54,38.29,Minimal Movement,Normal Rest
2026-01-01 01:45:00,1.507,1.05,0.292,80,38.49,Moderate Movement,Healthy Activity
2026-01-01 01:45:30,2.537,2.262,3.24,121,39.37,High Movement,Active State
2026-01-01 01:46:00,0.775,0.394,0.643,66,38.27,Head Movement,Feeding Detected
2026-01-01 01:46:30,1.622,0.993,0.235,74,38.83,Moderate Movement,Healthy Activity
2026-01-01 01:47:00,0.199,0.228,0.351,55,38.19,Minimal Movement,Normal Rest
2026-01-01 01:47:30,0.046,0.07,0.042,59,38.18,Low Movement,Healthy Sleep
2026-01-01 01:48:00,0.789,0.734,0.894,70,38.58,Head Movement,Feeding Detected
2026-01-01 01:48:30,0.229,0.168,0.09,56,38.32,Minimal Movement,Normal Rest
2026-01-01 01:49:00,3.542,2.425,3.147,94,38.7,High Movement,Active State
2026-01-01 01:49:30,1.255,1.262,1.316,68,38.35,Moderate Movement,Healthy Activity
2026-01-01 01:50:00,0.73,0.306,0.85,59,37.85,Head Movement,Feeding Detected
2026-01-01 01:50:30,0.299,0.342,0.218,66,38.14,Minimal Movement,Normal Rest
2026-01-01 01:51:00,2.822,3.105,4.335,93,39.27,High Movement,Active State
2026-01-01 01:51:30,0.055,0.082,0.033,54,38.48,Low Movement,Healthy Sleep
2026-01-01 01:52:00,0.719,0.725,0.665,59,38.15,Head Movement,Feeding Detected
2026-01-01 01:52:30,0.081,0.058,0.069,56,38.38,Low Movement,Healthy Sleep
2026-01-01 01:53:00,1.25,1.106,1.628,79,38.55,Moderate Movement,Healthy Activity
2026-01-01 01:53:30,0.486,0.696,0.972,64,38.46,Head Movement,Feeding Detected
2026-01-01 01:54:00,0.952,1.436,1.733,74,39.18,Moderate Movement,Healthy Activity
2026-01-01 01:54:30,1.185,1.612,0.7,81,38.31,Moderate Movement,Healthy Activity
2026-01-01 01:55:00,0.257,0.399,0.279,56,38.06,Minimal Movement,Normal Rest
2026-01-01 01:55:30,3.156,3.181,2.841,97,38.67,High Movement,Active State
2026-01-01 01:56:00,0.168,0.227,0.201,55,38.05,Minimal Movement,Normal Rest
2026-01-01 01:56:30,0.968,1.578,1.565,81,38.57,Moderate Movement,Healthy Activity
2026-01-01 01:57:00,3.433,2.647,2.32,90,38.88,High Movement,Active State
2026-01-01 01:57:30,4.503,2.559,3.491,120,39.27,High Movement,Active State
2026-01-01 01:58:00,2.23,3.144,3.376,118,38.55,High Movement,Active State
2026-01-01 01:58:30,0.096,0.029,0.048,56,38.19,Low Movement,Healthy Sleep
2026-01-01 01:59:00,1.408,1.276,1.289,62,38.45,Moderate Movement,Healthy Activity
2026-01-01 01:59:30,0.086,0.105,0.094,57,38.24,Low Movement,Healthy Sleep
2026-01-01 02:00:00,0.625,0.695,0.748,63,38.11,Head Movement,Feeding Detected
2026-01-01 02:00:30,0.848,1.078,1.527,72,38.14,Moderate Movement,Healthy Activity
2026-01-01 02:01:00,0.655,1.717,1.234,72,38.83,Moderate Movement,Healthy Activity
2026-01-01 02:01:30,0.102,0.416,0.218,52,38.06,Minimal Movement,Normal Rest
2026-01-01 02:02:00,0.177,0.298,0.279,62,38.32,Minimal Movement,Normal Rest
2026-01-01 02:02:30,1.456,1.319,1.461,73,38.41,Moderate Movement,Healthy Activity
2026-01-01 02:03:00,1.43,1.732,1.291,66,38.41,Moderate Movement,Healthy Activity
2026-01-01 02:03:30,0.053,0.09,0.102,50,37.85,Low Movement,Healthy Sleep
2026-01-01 02:04:00,0.252,0.321,0.312,59,38.3,Minimal Movement,Normal Rest
2026-01-01 02:04:30,0.119,0.125,0.118,49,37.98,Low Movement,Healthy Sleep
2026-01-01 02:05:00,1.474,1.074,1.759,83,38.6,Moderate Movement,Healthy Activity
2026-01-01 02:05:30,3.176,3.104,3.317,96,39.33,High Movement,Active State
2026-01-01 02:06:00,0.4,0.63,0.394,69,38.35,Head Movement,Feeding Detected
2026-01-01 02:06:30,2.121,3.314,2.31,90,38.84,High Movement,Active State
2026-01-01 02:07:00,0.739,0.564,0.488,74,38.28,Head Movement,Feeding Detected
2026-01-01 02:07:30,0.769,0.55,0.508,72,38.5,Head Movement,Feeding Detected
2026-01-01 02:08:00,0.652,1.401,1.465,64,38.67,Moderate Movement,Healthy Activity
2026-01-01 02:08:30,0.085,0.039,0.109,48,37.82,Low Movement,Healthy Sleep
2026-01-01 02:09:00,0.731,1.101,1.14,70,38.6,Moderate Movement,Healthy Activity
2026-01-01 02:09:30,1.297,1.171,1.366,80,38.43,Moderate Movement,Healthy Activity
2026-01-01 02:10:00,1.018,1.434,0.657,80,38.26,Moderate Movement,Healthy Activity
2026-01-01 02:10:30,1.49,1.717,0.337,71,38.82,Moderate Movement,Healthy Activity
2026-01-01 02:11:00,0.716,0.385,0.57,64,38.51,Head Movement,Feeding Detected
2026-01-01 02:11:30,0.637,1.449,0.974,83,38.59,Moderate Movement,Healthy Activity
2026-01-01 02:12:00,2.15,3.973,2.384,123,38.78,High Movement,Active State
2026-01-01 02:12:30,0.288,0.269,0.253,66,38.44,Minimal Movement,Normal Rest
2026-01-01 02:13:00,0.262,0.295,0.292,59,38.26,Minimal Movement,Normal Rest
2026-01-01 02:13:30,0.369,1.251,0.806,84,38.36,Moderate Movement,Healthy Activity
2026-01-01 02:14:00,0.05,0.111,0.115,56,38.25,Low Movement,Healthy Sleep
2026-01-01 02:14:30,0.686,0.758,0.34,61,38.42,Head Movement,Feeding Detected
2026-01-01 02:15:00,1.435,1.253,1.082,69,38.29,Moderate Movement,Healthy Activity
2026-01-01 02:15:30,4.088,3.508,3.357,124,39.45,High Movement,Active State
2026-01-01 02:16:00,1.098,1.999,1.341,62,38.47,Moderate Movement,Healthy Activity
2026-01-01 02:16:30,1.061,0.466,0.477,74,38.24,Head Movement,Feeding Detected
2026-01-01 02:17:00,1.458,0.663,2.141,67,38.77,Moderate Movement,Healthy Activity
2026-01-01 02:17:30,0.254,0.665,0.796,73,38.41,Head Movement,Feeding Detected
2026-01-01 02:18:00,0.844,1.073,2.258,83,38.29,Moderate Movement,Healthy Activity
2026-01-01 02:18:30,0.64,1.157,1.456,78,38.73,Moderate Movement,Healthy Activity
2026-01-01 02:19:00,2.687,1.922,2.686,105,39.46,High Movement,Active State
2026-01-01 02:19:30,0.783,0.341,0.395,60,38.29,Head Movement,Feeding Detected
2026-01-01 02:20:00,0.106,0.05,0.06,56,37.92,Low Movement,Healthy Sleep
2026-01-01 02:20:30,0.296,0.181,0.256,58,38.12,Minimal Movement,Normal Rest
2026-01-01 02:21:00,0.263,0.365,0.305,52,38.15,Minimal Movement,Normal Rest
2026-01-01 02:21:30,0.069,0.056,0.113,54,38.19,Low Movement,Healthy Sleep
2026-01-01 02:22:00,1.51,1.173,0.663,81,38.73,Moderate Movement,Healthy Activity
2026-01-01 02:22:30,0.053,0.085,0.076,55,38.19,Low Movement,Healthy Sleep
2026-01-01 02:23:00,0.054,0.139,0.11,54,38.28,Low Movement,Healthy Sleep
2026-01-01 02:23:30,0.811,1.028,0.806,76,38.31,Moderate Movement,Healthy Activity
2026-01-01 02:24:00,0.205,0.355,0.283,56,38.27,Minimal Movement,Normal Rest
2026-01-01 02:24:30,0.259,0.253,0.234,53,38.18,Minimal Movement,Normal Rest
2026-01-01 02:25:00,0.319,0.272,0.195,59,38.1,Minimal Movement,Normal Rest
2026-01-01 02:25:30,1.289,1.007,0.385,66,38.56,Moderate Movement,Healthy Activity
2026-01-01 02:26:00,0.98,1.23,1.601,72,38.12,Moderate Movement,Healthy Activity
2026-01-01 02:26:30,0.083,0.096,0.044,59,38.07,Low Movement,Healthy Sleep
2026-01-01 02:27:00,2.751,1.051,2.037,91,38.95,High Movement,Active State
2026-01-01 02:27:30,0.118,0.078,0.06,51,38.26,Low Movement,Healthy Sleep
2026-01-01 02:28:00,0.275,0.311,0.247,61,38.26,Minimal Movement,Normal Rest
2026-01-01 02:28:30,0.211,0.263,0.084,61,38.18,Minimal Movement,Normal Rest
2026-01-01 02:29:00,1.25,1.091,1.354,66,38.46,Moderate Movement,Healthy Activity
2026-01-01 02:29:30,0.28,0.254,0.236,58,38.15,Minimal Movement,Normal Rest
2026-01-01 02:30:00,0.678,0.668,0.629,62,38.46,Head Movement,Feeding Detected
2026-01-01 02:30:30,0.052,0.031,0.101,59,38.42,Low Movement,Healthy Sleep
2026-01-01 02:31:00,0.454,0.645,0.551,73,38.57,Head Movement,Feeding Detected
2026-01-01 02:31:30,0.417,0.127,0.488,72,38.53,Head Movement,Feeding Detected
2026-01-01 02:32:00,0.248,0.2,0.139,53,38.25,Minimal Movement,Normal Rest
2026-01-01 02:32:30,0.763,1.059,0.939,83,38.41,Moderate Movement,Healthy Activity
